,Baetis fuscatus,Limnodrilus gotoi,Hydropsyche kozhantschikovi,Teloganopsis punctisetae,Ephemera orientalis,pH,Conductivity,DO,BOD,COD,SS,TN,TP
observation867,1,1,0,0,0,7.2,977,7.45,5.9,6.9,14.25,8.563,0.123
observation868,1,1,0,0,1,7.55,1176.5,7.5,8.95,10.7,14,16.687,0.2035
observation869,0,1,0,0,0,7.65,1020.5,8.75,5.8,6.75,7.5,9.179,0.11
observation870,0,1,0,0,0,7.5,1343,8.95,6.1,9,9.5,13.139,0.1235
observation871,1,0,1,0,0,7.4,608,9.9,6.65,5.8,6.7,9.182,0.11
observation872,0,1,0,0,0,7.55,968.5,8.55,8.4,7.6,11.85,10.498,0.1495
observation873,0,0,0,0,0,7.35,871,7.8,2.75,5.1,4,7.0055,0.1505
observation874,0,1,0,0,0,7.95,1329.5,8.65,6.65,8.2,6.9,9.8045,0.212
observation875,0,1,0,0,0,7.3,662,7.1,3.6,4.75,6.7,5.9825,0.1335
observation876,1,1,0,0,0,7.7,1539.5,8.8,7.5,9.95,10.25,9.063,0.19
observation877,1,1,0,0,0,8,751.5,9.1,1.4,3.65,5.15,6.625,0.078
observation878,0,1,0,0,1,8.5,676,10.7,4.6,7.05,11.6,5.923,0.071
observation879,0,1,0,0,1,7.55,844,8.75,1.2,4.15,5.6,4.931,0.0845
observation880,0,1,0,0,0,8.3375,200.875,12,2.1875,5.125,26.4375,3.06925,0.071875
observation881,0,1,0,0,1,8.3125,201,11.475,1.1875,3.725,7.7875,2.57475,0.057125
observation882,0,0,0,0,1,8.044444444,218.4444444,11.97777778,2.444444444,4.522222222,10.76666667,2.781555556,0.050666667
observation883,1,0,0,1,1,8.033333333,189,10.5,0.977777778,4.655555556,19.52222222,2.917444444,0.089333333
observation884,1,1,0,0,1,7.9375,228.25,11.825,1.6,4.05,10.1375,2.675625,0.051
observation885,0,0,0,0,1,7.9,198.125,9.5375,0.775,3.8125,8.525,2.581625,0.068
observation886,0,0,0,0,0,8.022222222,261.1111111,11.23333333,1.822222222,3.822222222,10.98888889,2.290555556,0.043
observation887,0,1,0,0,1,7.8,225.4444444,9.411111111,1.077777778,3.888888889,5.8,2.587666667,0.054666667
observation888,0,0,0,0,0,7.925,247.25,10.525,1.4,3.5,7.0625,2.542625,0.0345
observation889,1,0,0,0,0,7.966666667,306.5555556,10.77777778,1.9,4.3,6.122222222,1.655111111,0.030777778
observation890,0,1,0,0,1,7.833333333,260.7777778,12.15555556,2.455555556,4.255555556,12.77777778,2.415888889,0.042333333
observation891,0,0,0,0,0,7.955555556,289.4444444,10.26666667,1.355555556,3.922222222,4.3,2.351555556,0.032666667
observation892,0,1,0,0,0,8.1,279.8888889,12.05555556,2.3,4.244444444,6.188888889,2.288222222,0.028555556
observation893,0,1,0,0,1,8.1625,241.375,10.1625,1.5,4.2125,5.9375,2.765125,0.03875
observation894,0,1,0,0,0,8.244444444,292,10.86666667,2.122222222,4.588888889,15.4,3.372555556,0.075444444
observation895,0,1,0,0,0,8.2,250.3333333,10.23333333,1.2,4.2,8.944444444,3.040666667,0.077222222
observation896,0,1,0,0,1,8.344444444,259.6666667,11.81111111,2.144444444,4.4,8.144444444,2.496555556,0.033666667
observation897,0,1,0,0,1,7.655555556,267.5555556,8.4,1.077777778,4.244444444,7.988888889,2.554666667,0.078777778
observation898,0,1,0,0,1,8.2,280.375,10.55,1.525,3.8625,6.7125,2.5595,0.038375
observation899,0,1,0,0,0,8.325,262.75,10.575,1.225,4.375,15,2.870125,0.08875
observation900,0,1,0,0,1,8.466666667,280,10.98888889,1.988888889,5.022222222,20.22222222,2.766333333,0.088333333
observation901,0,1,0,0,0,7.842857143,273.8571429,8.2,0.528571429,2.885714286,5.471428571,2.725285714,0.048285714
observation902,1,1,1,0,1,7.7375,152.5,9.5125,1.225,4.4625,34.25,2.214125,0.046875
observation903,1,1,0,0,1,8.6,173.4285714,9.785714286,0.8,2.728571429,1.628571429,1.384857143,0.020428571
observation904,0,1,0,0,0,7.975,160.875,9.05,0.625,2.5375,2.45,2.229375,0.026125
observation905,1,1,0,0,1,7.385714286,187.8571429,8.2,0.371428571,1.814285714,1.142857143,1.26,0.029
observation906,1,1,1,1,1,7.9875,180.125,10.1875,0.9375,2.575,1.7,1.9865,0.0155
observation907,0,0,1,0,1,7.816666667,151.6666667,9.516666667,0.55,1.566666667,1.366666667,1.755333333,0.011666667
observation908,1,1,0,1,1,7.855555556,171.6666667,10.3,0.688888889,2.122222222,2.166666667,2.030888889,0.017666667
observation909,1,1,1,0,1,7.9,139.2857143,9.014285714,0.5,1.942857143,3.442857143,1.849571429,0.029714286
observation910,1,1,1,1,0,8.35,121,11.6,1.25,2.6,4.75,3.641,0.103
observation911,1,0,1,1,0,7.85,125.5,9.25,0.65,2.1,6,1.877,0.017
observation912,1,0,1,1,1,8,137,10.8,1.05,2.6,4.8,3.16,0.034
observation913,1,0,1,1,1,7.95,95.5,10.65,1,2.65,4.8,1.881,0.035
observation914,1,0,1,1,0,7.85,106,11.3,0.65,2.6,3.8,2.628,0.0285
observation915,1,0,1,1,0,7.9,121.5,9.65,0.6,1.75,2,2.0745,0.0615
observation916,1,0,1,1,0,7.45,159,10.6,1.1,2.35,4.6,3.0885,0.0315
observation917,1,0,1,1,1,7.3,142.5,9.65,0.85,1.8,8.2,2.8565,0.0365
observation918,1,0,1,1,1,7.75,129.5,11.1,0.75,2.15,4.5,3.8245,0.0265
observation919,1,1,1,1,1,8,168.5,10.7,1.05,2.95,3.6,1.633,0.107
observation920,1,1,0,1,1,7.7,136,11.4,0.8,2.8,2.05,4.546,0.1625
observation921,1,0,1,1,0,7.6,158,11.45,0.8,2.35,1.6,1.471,0.036
observation922,1,1,1,1,0,8.6,151.5,10,1.1,2.2,1.7,3.1165,0.0205
observation923,1,1,0,1,1,7.7,158,9.25,0.55,1.9,2.4,2.5955,0.0225
observation924,1,1,1,1,1,8.475,139.125,10.875,1.3375,3.3125,5.1,3.35725,0.031625
observation925,1,0,1,1,0,8.4,148.1428571,10.71428571,0.828571429,2.628571429,3.871428571,1.897142857,0.027857143
observation926,1,1,0,0,1,8.171428571,141.2857143,10.37142857,1.5,3.7,10.15714286,3.659714286,0.040285714
observation927,1,1,1,1,1,8.2625,112.5,9.775,0.55,2.9625,3.325,2.216375,0.026875
observation928,1,1,0,1,1,7.9375,113.25,11.2875,1.0875,3.1875,10.7375,2.369125,0.039875
observation929,0,1,0,1,0,8.014285714,136.7142857,10.52857143,0.8,3.114285714,12.27142857,1.966428571,0.039142857
observation930,0,1,0,0,1,8.6,174,11.67777778,3.077777778,5.455555556,12.13333333,1.760333333,0.044666667
observation931,1,1,0,1,1,8.085714286,152.2857143,10.54285714,0.714285714,2.771428571,3.1,2.099285714,0.021857143
observation932,1,1,0,0,0,7.922222222,157.5555556,11.06666667,1.488888889,3.577777778,6.322222222,2.676333333,0.025888889
observation933,0,1,0,0,0,8.285714286,203.7142857,11.48571429,0.785714286,2.828571429,4.657142857,0.991142857,0.019285714
observation934,0,1,0,0,0,7.85,148.625,9.975,1.025,3.15,5.875,2.93675,0.035375
observation935,0,0,0,0,1,8.442857143,188.5714286,11.6,0.785714286,3.1,4.9,1.083,0.022285714
observation936,0,1,0,0,0,8.4375,162.125,10.5125,1.5875,4.225,5.9375,2.6085,0.0435
observation937,1,1,0,0,1,8.1,168.5,10.1625,0.5625,2.625,3.8875,3.200625,0.031875
observation938,0,1,0,0,0,8.277777778,220,12.18888889,2.077777778,5.022222222,37.31111111,3.078111111,0.1
observation939,1,1,0,0,0,8.1125,201.375,11.475,1.2125,3.65,6.1375,2.40475,0.049375
observation940,1,1,0,0,0,8.377777778,213.7777778,12.15555556,2.533333333,4.9,10.32222222,2.750777778,0.049888889
observation941,0,1,1,0,1,7.955555556,167.4444444,10.22222222,0.711111111,4.322222222,22.3,2.631666667,0.080777778
observation942,0,1,0,0,0,8.175,219.125,11.9125,1.7,4.0625,6.5625,2.466125,0.036375
observation943,1,0,0,0,0,7.8125,194.125,9.525,0.7875,3.5875,6.0375,2.57525,0.0585
observation944,1,1,1,0,0,8.711111111,240.6666667,12.78888889,2.5,4.5,7.433333333,2.117444444,0.030777778
observation945,1,1,0,0,1,7.966666667,227,9.5,0.933333333,3.4,5.522222222,2.421,0.051777778
observation946,1,1,0,0,1,8.0875,254.625,11.825,2.4,4.0875,7.725,2.5155,0.040625
observation947,0,1,0,0,0,7.425,309.25,9.7875,2.3875,4.2625,4.3375,1.49675,0.02975
observation948,0,1,0,0,0,8.3375,263.625,12.1625,2.5,4.675,9.1625,2.454625,0.041375
observation949,0,1,0,0,1,7.777777778,273.5555556,9.155555556,0.922222222,3.744444444,2.522222222,2.224444444,0.029666667
observation950,0,0,0,0,0,8.366666667,283.5555556,12.01111111,2.366666667,4.177777778,4.777777778,2.275888889,0.028777778
observation951,0,0,0,0,0,8.075,254.375,9.8875,0.9625,3.6,3.725,2.6775,0.035125
observation952,0,1,0,0,1,8.155555556,259.8888889,11.07777778,1.533333333,4.144444444,9.577777778,3.064111111,0.050888889
observation953,0,1,0,0,0,7.922222222,227.4444444,9.877777778,0.744444444,3.855555556,6.5,2.792222222,0.061777778
observation954,0,1,0,0,0,8.122222222,271.8888889,11.54444444,1.822222222,4.166666667,5.866666667,2.501111111,0.031333333
observation955,0,0,0,0,0,7.7,260.6666667,8.866666667,0.644444444,3.911111111,5.788888889,2.552,0.068111111
observation956,0,1,0,0,0,7.725,276.75,10.2,0.6875,2.9875,3.2375,2.443,0.0355
observation957,0,1,0,0,0,8.325,257.125,10.075,0.9875,3.7375,7,2.771125,0.048375
observation958,0,1,0,0,1,8.355555556,259,11.02222222,1.9,4.911111111,11.17777778,2.577444444,0.05
observation959,0,1,0,0,1,7.885714286,252.1428571,9.228571429,0.528571429,2.8,3.957142857,2.608,0.043857143
observation960,0,1,0,0,1,8.1875,222.125,9.1625,1.4625,3.7375,14.125,1.983875,0.062
observation961,1,1,1,0,1,8.65,161.3333333,9.566666667,0.716666667,1.733333333,1.3,1.805333333,0.022833333
observation962,0,1,0,0,0,8.6,200.8888889,9.522222222,1.2,4.288888889,36.57777778,2.281444444,0.093
observation963,0,1,0,0,0,8.242857143,130.1428571,8.985714286,0.728571429,2.614285714,30.22857143,1.952,0.079285714
observation964,1,1,0,0,1,7.6375,124.875,10.3,0.8375,2.575,1.4375,2.9065,0.00875
observation965,0,1,0,0,1,7.685714286,143.8571429,9.428571429,0.442857143,1.628571429,1.1,2.259714286,0.011714286
observation966,1,1,0,0,0,8.4,127.5,10.3375,0.525,1.875,2.775,3.17175,0.018
observation967,1,1,0,1,0,7.628571429,161.2857143,8.742857143,0.371428571,1.771428571,2.171428571,2.587428571,0.017714286
observation968,0,1,0,0,1,7.8875,186.125,8.7375,1.025,2.9125,2.775,2.271625,0.018375
observation969,1,1,1,0,1,7.85,178.6666667,9.033333333,0.566666667,2.05,3.333333333,2.2195,0.0155
observation970,0,1,0,0,1,8.133333333,205.4444444,9.644444444,0.833333333,2.555555556,5.433333333,2.251222222,0.025444444
observation971,1,1,1,0,0,8.128571429,146.5714286,8.985714286,0.642857143,2.342857143,8.1,2.035,0.054
observation972,1,1,0,0,0,7.7625,97.125,12.6625,0.4625,2.2375,1.5125,1.475,0.010625
observation973,0,0,0,0,0,7.914285714,78,8.057142857,0.642857143,2.642857143,2.642857143,1.152142857,0.015714286
observation974,0,0,0,0,0,7.842857143,101.4285714,12.48571429,0.542857143,2.242857143,1.4,1.46,0.011142857
observation975,0,0,0,0,0,7.825,94.875,9.25,0.45,2.725,1.4,1.65825,0.018125
observation976,0,0,0,0,0,7.7125,103.875,12.975,0.4875,2.175,1.3,1.28825,0.008875
observation977,0,0,0,0,0,8.057142857,78.57142857,8.942857143,0.385714286,2.628571429,1.257142857,1.047714286,0.007
observation978,0,0,0,0,0,7.722222222,97,12.17777778,0.444444444,2.222222222,1.422222222,1.058,0.008111111
observation979,0,0,1,0,0,7.928571429,106.1428571,9.314285714,0.7,2.814285714,2.371428571,1.512285714,0.014714286
observation980,0,0,0,0,0,7.844444444,120,13.22222222,0.655555556,2.266666667,1.633333333,1.346333333,0.007888889
observation981,0,0,0,0,0,8.128571429,113.1428571,8.485714286,0.457142857,2.942857143,1.528571429,1.335,0.007142857
observation982,0,0,1,0,0,7.8625,127.25,12.5,0.6125,2.325,1.825,1.266,0.0095
observation983,0,1,0,0,0,7.771428571,118.2857143,8.228571429,0.628571429,2.7,1.571428571,1.071571429,0.009571429
observation984,1,0,1,0,0,7.957142857,126.5714286,12.54285714,0.428571429,2.214285714,1.442857143,1.101571429,0.005142857
observation985,0,0,0,0,0,8.028571429,91.42857143,8.614285714,0.385714286,2.4,2.042857143,1.012571429,0.013428571
observation986,0,0,0,0,0,7.988888889,112.5555556,12.06666667,0.655555556,2.6,2.588888889,1.549222222,0.012111111
observation987,0,1,0,0,1,8.1,100.8571429,10.08571429,0.557142857,2.871428571,1.571428571,1.551571429,0.012428571
observation988,0,1,0,0,1,7.8875,120.375,11.5625,0.525,2.6125,1.05,1.031625,0.006625
observation989,0,1,0,0,1,8.0625,106.5,8.525,0.4375,2.8625,1.1375,1.082625,0.00725
observation990,0,0,0,0,0,8.244444444,111.8888889,12.32222222,0.533333333,2.288888889,1.211111111,1.008333333,0.007777778
observation991,1,0,0,0,0,7.7125,84.75,10.425,0.3875,2.6625,12.275,0.9385,0.052
observation992,0,1,0,0,0,8.1625,100,12.3875,0.525,2.4375,1.5625,1.571125,0.01075
observation993,0,1,0,0,0,7.928571429,118.1428571,8.957142857,0.471428571,2.114285714,1.242857143,1.136,0.007714286
observation994,0,0,0,0,0,8.1,136.5,12,0.8,2.5,7.35,3.8685,0.0325
observation995,1,0,1,0,0,7.75,165.5,10.5,0.55,1.95,1.95,5.3445,0.0595
observation996,0,0,0,0,0,7.95,155,11,1.4,2.2,4.05,4.2895,0.025
observation997,1,0,1,0,0,7.5,145.5,10.4,0.95,2.85,1.75,2.737,0.023
observation998,1,0,0,0,0,8.15,140.5,11.5,1.15,2.9,5.9,2.8295,0.028
observation999,1,0,1,0,0,7.9,144,11.4,0.65,1.95,8.7,2.7515,0.042
observation1000,1,0,1,0,1,7.8,149.5,12.55,1.7,3.4,6.75,2.7625,0.0315
observation1001,1,0,1,1,0,7.95,195.5,11.8,2,2.2,2.55,2.93,0.0225
observation1002,1,0,0,0,0,8.4,164.5,11.95,1.65,3.85,2.3,2.9555,0.0175
observation1003,1,0,1,1,0,8.25,206.5,10.6,0.9,4.7,2.65,2.9555,0.015
observation1004,1,0,1,1,0,7.8,200,13.3,1.45,2.75,7,4.798,0.0365
observation1005,1,0,0,1,0,8.4,200,14.2,0.9,2.35,1.4,2.692,0.0145
observation1006,1,0,0,0,0,8.35,228,11.6,2.45,3.9,10.25,2.806,0.0255
observation1007,1,0,0,1,0,8.5,150,10.5,0.65,4.05,10,2.6045,0.038
observation1008,0,0,1,0,0,7.9,110.5,12,0.55,2.2,1.2,3.754,0.019
observation1009,0,0,1,1,0,7.95,116.5,12.2,0.4,1.95,1.65,3.771,0.0265
observation1010,0,0,1,1,0,7.9,127.5,11.45,0.9,2.45,1.25,4.7375,0.0255
observation1011,0,0,1,1,0,7.3,99.5,10.9,1.1,2.55,2.15,2.6805,0.0175
observation1012,1,0,0,1,0,7.8,102,12,0.6,2.55,3.65,2.568,0.018
observation1013,1,0,1,1,0,7.65,129,10.45,0.5,1.35,3.5,3.88,0.02
observation1014,1,0,1,1,1,8.1,118.5,11.9,0.75,3.15,3.8,2.901,0.013
observation1015,1,0,1,1,0,7.5,160.5,11.75,1.1,2.15,2.2,3.999,0.0095
observation1016,1,0,1,1,0,8.4,125,12.4,0.8,3.7,2.3,3.8085,0.0155
observation1017,1,0,0,1,0,8,125.5,11.1,0.75,4.2,1.45,2.8215,0.0115
observation1018,1,1,1,1,0,8.25,102,14.45,1.2,1.9,2.95,3.163,0.021
observation1019,1,0,1,1,1,8.35,114.5,11.55,1.15,1.75,0.75,1.477,0.012
observation1020,1,0,1,1,1,7.7,124,12.3,1.35,3.55,5.9,2.7345,0.016
observation1021,1,1,0,1,1,8.05,132.5,11.25,0.65,2.1,3.7,2.324,0.014
observation1022,0,0,0,0,0,7.4,90,11.3,0.45,1.9,2.75,2.4305,0.013
observation1023,0,0,0,0,0,8.2,101,9.95,0.5,2.45,2.1,1.9595,0.0205
observation1024,0,0,0,0,0,8.05,101,11.9,0.5,2.15,1,1.838,0.025
observation1025,0,0,0,0,0,6.65,85,8,0.55,1.5,1.8,1.9115,0.023
observation1026,0,0,0,0,0,7.9,81,12.85,0.8,2.25,3.45,1.672,0.015
observation1027,1,0,0,0,0,7.2,75,8,1,2.35,2.65,1.6485,0.038
observation1028,0,0,0,0,0,7.8,79,12.35,0.95,3.85,4.2,1.14,0.013
observation1029,0,0,0,0,0,7.15,102,7.05,0.85,2.75,2.4,1.609,0.0085
observation1030,0,0,0,0,0,7.4,103.5,12.85,1.25,3.2,1.3,2.085,0.0115
observation1031,0,0,0,0,0,8,95,7.2,1.6,4.2,2.2,1.925,0.042
observation1032,0,0,0,0,0,7.95,106,10.5,1,2.55,2.8,1.7195,0.011
observation1033,0,1,0,0,1,9.05,127.5,9.1,1.25,4,1.7,1.3125,0.0125
observation1034,0,0,0,0,0,8.05,116,11.9,1.15,2.4,1.55,1.106,0.0135
observation1035,0,0,0,0,0,8,105,8.45,0.8,2.05,1.5,1.196,0.0115
observation1036,0,1,0,0,0,6.8,92.5,11.35,0.5,1.95,1.45,2.1245,0.025
observation1037,1,1,0,0,1,7.9,102,9.55,0.55,2.3,2.9,2.1305,0.014
observation1038,0,1,1,0,0,8.05,103,11.25,0.7,2.05,1.2,2.5015,0.05
observation1039,0,0,0,0,0,6.45,84,8.3,1.15,1.9,1.7,2.0045,0.038
observation1040,0,0,0,0,0,7.65,69.5,13.3,0.65,2.6,3.1,1.5745,0.0135
observation1041,0,0,0,0,0,7.45,76.5,8,1,2.4,3.25,1.6035,0.136
observation1042,0,0,0,0,0,7.6,64,9.75,0.85,2.3,2.6,1.18,0.016
observation1043,0,0,0,0,0,7.25,101,7.8,1.05,2.75,2.35,1.6065,0.0065
observation1044,0,0,0,0,0,8.15,132.5,12.65,1.75,3.7,2.9,1.5895,0.0105
observation1045,0,0,0,0,0,8.15,95.5,7.9,1.65,3.9,1.15,1.964,0.0075
observation1046,0,0,0,0,0,8.15,123.5,12.25,1.55,2.8,4.95,1.6795,0.018
observation1047,0,1,0,0,0,8.55,101,8.55,1.55,3.65,2.85,2.4145,0.0245
observation1048,0,0,0,0,0,7.9,121.5,11.85,1.05,2.8,1.65,1.3565,0.0095
observation1049,0,0,0,0,1,8,96,9.5,0.8,3.05,1.9,1.4245,0.011
observation1050,1,0,1,1,0,8.2,117,11.8,1.55,3.1,2.15,1.2415,0.0075
observation1051,0,1,0,0,0,8.1,97,9.55,1.95,2.2,2.65,1.576,0.011
observation1052,0,1,0,0,0,8,126.5,11.65,1.05,2.7,2.05,1.167,0.016
observation1053,1,0,0,0,0,8.15,103,9.05,0.95,2.6,2.25,1.4855,0.0155
observation1054,0,0,0,0,0,8.35,130,11.25,1.7,4.1,1.75,1.041,0.0195
observation1055,1,0,0,0,0,8.4,95,9.2,1.5,3.65,11.5,1.372,0.028
observation1056,0,0,0,0,0,8.1,103.5,11.55,1.05,2.85,1.95,1.4955,0.011
observation1057,0,1,0,0,1,8.3,168,7.2,1.2,3.35,1.35,1.2285,0.009
observation1058,0,0,0,0,0,7.45,75.5,10.95,0.85,1.8,0.7,2.0545,0.0125
observation1059,0,0,0,0,0,7.55,78,9.3,0.7,2.2,0.5,1.03,0.0075
observation1060,0,0,0,1,0,7.25,112.5,10.9,0.9,1.8,3.8,2.187,0.004
observation1061,1,0,1,1,0,7.35,67,9.5,0.45,1.45,0.2,1.3565,0.007
observation1062,1,0,0,1,0,7.1,66.5,10.8,0.45,1.65,1.2,1.8225,0.007
observation1063,0,0,0,1,0,7.3,71,8.3,0.6,1.5,0.75,1.2025,0.0065
observation1064,1,0,0,1,0,7.3,70.5,10.65,0.8,1.7,1.1,2.106,0.005
observation1065,1,0,1,1,0,7.55,91.5,10.3,0.85,1.4,0.15,1.5375,0.01
observation1066,0,1,0,1,0,7.15,89,9.8,1,2.25,0.8,1.767,0.0115
observation1067,0,0,1,0,0,7.55,81,9.55,0.85,1.35,5.6,1.609,0.008
observation1068,0,0,1,1,0,7.8,70.5,10.85,0.75,2.2,12,1.3065,0.01
observation1069,0,0,0,0,0,7.55,61.5,9.75,1,1.8,0.6,0.8175,0.0055
observation1070,1,0,0,1,0,7.6,101,10,0.6,2.2,5.8,1.283,0.006
observation1071,1,0,0,0,0,7.85,76.5,9.7,0.45,1.7,0.4,0.78,0.009
observation1072,0,0,0,1,0,8.2,71.375,11.3375,0.575,2.775,5.05,2.2435,0.019875
observation1073,0,0,1,0,0,8.185714286,79.14285714,9.585714286,1.028571429,3.1,2.114285714,1.777,0.016714286
observation1074,0,0,1,1,0,8.314285714,73.28571429,10.88571429,0.728571429,2.914285714,3.042857143,2.256571429,0.017285714
observation1075,1,0,1,1,0,8.3875,72.5,10.525,0.4125,3.1125,3.125,1.563625,0.022625
observation1076,1,0,1,1,0,8.025,72.375,11.1375,0.85,3.075,10.975,1.703625,0.035875
observation1077,1,0,1,0,0,8.342857143,77.71428571,10.52857143,0.614285714,3.314285714,31.07142857,1.408571429,0.066285714
observation1078,1,0,1,1,0,8.422222222,78.55555556,10.26666667,0.922222222,3.066666667,6.366666667,1.849777778,0.024333333
observation1079,0,1,1,1,0,8.133333333,97.66666667,11.67777778,0.844444444,2.711111111,4.344444444,1.902777778,0.017777778
observation1080,0,0,0,1,0,8.514285714,96.42857143,10.21428571,0.5,2.2,1.914285714,1.084,0.008571429
observation1081,0,0,1,1,0,8.275,80.75,11.2375,0.675,2.875,10.125,1.4955,0.034625
observation1082,1,0,1,1,0,8.042857143,88.42857143,9.7,0.514285714,2.585714286,3.742857143,0.946571429,0.018714286
observation1083,1,0,1,0,1,8.342857143,89.57142857,11.04285714,0.771428571,3.014285714,6.557142857,1.425714286,0.021428571
observation1084,1,0,1,1,0,8.414285714,97.42857143,10.4,0.528571429,2.657142857,3.2,1.419285714,0.014285714
observation1085,0,1,1,0,0,8.233333333,78.11111111,10.91111111,0.6,2.788888889,3.577777778,1.683333333,0.018111111
observation1086,1,0,1,1,0,8.157142857,79.71428571,10.67142857,0.514285714,2.642857143,5.771428571,1.674714286,0.055142857
observation1087,1,0,1,1,0,8.2,108.875,11.2125,1.125,3.2375,4.9875,1.379625,0.02275
observation1088,1,0,1,1,0,8.25,79.375,10.8,0.7,2.9375,1.1875,1.263125,0.012625
observation1089,1,0,0,0,0,8.366666667,66.55555556,11.32222222,0.977777778,4.333333333,37.47777778,1.423666667,0.074666667
observation1090,1,0,0,1,0,7.9125,79.875,11.075,0.45,2.4125,6.1,1.2365,0.016
observation1091,1,0,0,0,0,8.125,70,11.2125,0.4125,2.525,6.15,1.86925,0.019125
observation1092,0,0,0,0,0,8.457142857,66.57142857,10.5,0.528571429,2.671428571,6.2,1.364,0.018857143
observation1093,0,0,0,0,0,7.7,73,12.1,0.4,2.4,2.65,2.9725,0.023
observation1094,0,0,0,0,0,7.7,79.5,9.65,0.3,1.75,1,2.883,0.0175
observation1095,0,0,1,1,0,7.85,70,9.5,0.55,2,3.95,3.035,0.016
observation1096,0,0,0,0,0,7.4,72.5,10.3,1.05,3.95,1.5,2.25,0.011
observation1097,1,0,1,1,0,8.5,98,12.75,0.65,2.2,2.7,1.9425,0.018
observation1098,0,0,0,0,0,8.25,80.5,11.9,1.05,2.2,5.05,2.2205,0.0325
observation1099,1,0,1,1,0,8.45,107,10,1.15,3.05,25.05,2.115,0.0355
observation1100,1,0,1,1,0,8.05,82.5,10.1,1.05,2.5,1.9,2.0885,0.0125
observation1101,1,0,1,1,0,8.05,112,10,0.9,3.15,2.45,3.0015,0.0105
observation1102,1,0,1,0,0,8.5,103,9.9,0.8,4.25,1.15,2.0825,0.0185
observation1103,1,0,0,1,0,8.35,90.5,12.7,1.5,2.25,7.05,2.5555,0.046
observation1104,1,0,1,1,1,8.6,85.5,10.9,1,2,1.65,2.234,0.0225
observation1105,0,0,0,1,0,8.8,106.5,11.3,1.2,2.55,2.2,1.5635,0.0095
observation1106,0,0,1,1,0,9.35,80.5,10.35,0.45,3.75,10.65,1.6455,0.038
observation1107,0,0,0,0,0,8,67.125,13.25,0.375,2.7875,1.0625,1.593,0.008
observation1108,0,0,0,0,0,8.275,54.25,10.1375,0.525,2.9875,7.4625,1.776125,0.033625
observation1109,0,0,0,0,0,8.055555556,63.22222222,13.14444444,0.355555556,2.555555556,0.922222222,1.423333333,0.01
observation1110,0,0,0,0,0,7.811111111,68.33333333,10.93333333,0.222222222,2.933333333,1.1,2.060666667,0.016777778
observation1111,0,0,0,0,0,7.7875,68.375,13.4125,0.2125,2.4625,0.625,1.66925,0.00675
observation1112,0,0,0,0,0,8.1375,58.125,10.6125,0.3,3.1125,5.525,1.66825,0.034125
observation1113,0,0,0,0,0,7.9,64.44444444,12.55555556,0.333333333,2.366666667,0.922222222,1.474333333,0.007333333
observation1114,0,0,0,0,0,8.133333333,73.66666667,8.988888889,0.411111111,2.555555556,1.333333333,1.835888889,0.007444444
observation1115,0,1,0,0,0,8.155555556,82.88888889,13.71111111,0.333333333,2.044444444,1.2,1.720111111,0.005222222
observation1116,0,0,0,0,0,8.1625,83.25,9.8,0.325,2.5125,1.5125,2.000625,0.00575
observation1117,0,0,0,0,0,7.925,89.875,12.7875,0.45,2.35,1.0625,1.7925,0.00775
observation1118,0,1,0,0,0,7.614285714,80.57142857,9.614285714,0.428571429,2.857142857,2.6,1.564714286,0.013285714
observation1119,0,0,0,0,0,8.311111111,80.11111111,12.83333333,0.3,2.633333333,0.755555556,1.502444444,0.003888889
observation1120,0,0,0,0,1,8.185714286,73.71428571,10.4,0.3,3.071428571,2.3,1.583571429,0.020285714
observation1121,0,1,0,0,0,8,75.33333333,13.35555556,0.322222222,2.666666667,0.788888889,1.392888889,0.006333333
observation1122,0,1,0,0,0,8.111111111,77.33333333,11.63333333,0.344444444,2.933333333,0.722222222,1.720333333,0.007666667
observation1123,0,1,0,0,0,8.111111111,77.44444444,12.17777778,0.3,2.766666667,0.555555556,1.359222222,0.004888889
observation1124,0,0,0,0,0,8.211111111,75.77777778,10,0.333333333,2.911111111,0.588888889,1.496777778,0.006333333
observation1125,0,0,0,1,0,8.255555556,74.22222222,12.01111111,0.311111111,2.411111111,0.422222222,1.387888889,0.004555556
observation1126,1,0,0,1,0,7.555555556,63.33333333,10.7,0.322222222,3.144444444,12.77777778,1.365222222,0.060333333
observation1127,0,1,0,0,0,8.325,66.625,13.1375,0.3125,2.4375,0.625,1.295875,0.004875
observation1128,0,1,0,0,0,8.175,71.875,12.1,0.3125,2.3125,0.3375,1.442,0.00325
observation1129,1,1,0,0,0,7.85,234,10.05,1.65,2.65,4.95,5.3885,0.0615
observation1130,0,0,0,0,0,7.95,266,12,0.85,3.1,23.9,7.1895,0.0625
observation1131,1,1,1,0,0,8.05,274.5,11,1,2.4,5,6.1385,0.024
observation1132,1,0,0,0,0,8.3,165,9.25,0.75,2.7,1.45,4.9765,0.0345
observation1133,1,0,1,0,0,8.2,216,12.5,1.7,3.35,4.1,4.007,0.056
observation1134,1,0,1,0,0,8.05,174,9.75,1.35,3.25,6.05,3.9275,0.082
observation1135,1,0,1,0,0,7.55,212.5,7.9,2.6,6,16.15,3.535,0.05
observation1136,1,0,1,0,0,7.55,256,9.55,1.15,2.95,2.6,3.561,0.039
observation1137,1,0,0,0,0,8.1,265,11.6,0.85,3.4,3.35,3.7185,0.0185
